,precision,recall,f1-score,support
BPSK,0.6798808432630614,0.6979534227240649,0.6887986070806732,4251.0
QPSK,0.47026899480887213,0.4807042932947419,0.4754293893129771,4146.0
8PSK,0.6042450295540033,0.6432146432146432,0.6231211470527118,6993.0
16PSK,0.4485674025364021,0.34290843806104127,0.3886853886853887,2785.0
accuracy,0.57292984869326,0.57292984869326,0.57292984869326,0.57292984869326
macro avg,0.5507405675405848,0.5411951993236228,0.5440086330329377,18175.0
weighted avg,0.5675188129256606,0.57292984869326,0.5688686721111399,18175.0
