,precision,recall,f1-score,support
Normal,0.9994582881906826,1.0,0.999729070712544,1845.0
Jammed/Spoofed,1.0,0.9994301994301994,0.999715018523796,1755.0
accuracy,0.9997222222222222,0.9997222222222222,0.9997222222222222,0.9997222222222222
macro avg,0.9997291440953413,0.9997150997150996,0.99972204461817,3600.0
weighted avg,0.9997223726977248,0.9997222222222222,0.9997222202705294,3600.0
