,precision,recall,f1-score,support
AM-SSB-WC,0.8325101996993772,0.9410194174757281,0.8834453685769625,4120.0
AM-SSB-SC,0.8949416342412452,0.7263157894736842,0.8018593840790238,2850.0
AM-DSB-WC,0.0,0.0,0.0,0.0
AM-DSB-SC,0.0,0.0,0.0,0.0
FM,0.0,0.0,0.0,0.0
accuracy,0.8532281205164993,0.8532281205164993,0.8532281205164993,0.8532281205164993
macro avg,0.3454903667881245,0.3334670413898825,0.3370609505311973,6970.0
weighted avg,0.8580381176971281,0.8532281205164993,0.8500852457908613,6970.0
