,precision,recall,f1-score,support
analog,0.7011147572628125,0.6912079547076455,0.696126111017944,42038.0
phase,0.6880201109570042,0.7557967909346284,0.7203176403857062,42006.0
qam,0.6977592624547045,0.6761094921893661,0.6867637960525518,41866.0
micro avg,0.6953376770317194,0.7077356842188866,0.7014819042371047,125910.0
macro avg,0.6956313768915071,0.70770474594388,0.7010691824854006,125910.0
weighted avg,0.6956304044841768,0.7077356842188866,0.7010838324402385,125910.0
samples avg,0.5815552334206489,0.6800946059357595,0.6092516297483109,125910.0
